iter	Passed	Remaining
161	214	1110
162	215	1104
163	215	1099
164	216	1094
165	216	1088
166	217	1083
167	217	1077
168	218	1072
169	218	1067
170	219	1061
171	219	1057
172	220	1052
173	220	1047
174	221	1042
175	221	1037
176	222	1033
177	222	1028
178	223	1023
179	223	1018
180	223	1013
181	224	1008
182	224	1004
183	225	999
184	225	995
185	226	990
186	226	986
187	227	982
188	227	977
189	228	973
190	228	969
191	229	964
192	229	960
193	230	956
194	230	952
195	231	948
196	231	944
197	232	940
198	232	936
199	232	931
200	233	928
201	233	924
202	234	920
203	234	916
204	235	912
205	235	908
206	236	905
207	236	901
208	237	897
209	237	894
210	238	890
211	238	887
212	239	883
213	239	880
214	240	876
215	240	873
216	241	869
217	241	866
218	242	863
219	242	859
220	242	856
221	243	853
222	243	849
223	244	846
224	244	843
225	245	840
226	245	837
227	246	833
228	246	830
229	247	827
230	247	824
231	248	821
232	248	818
233	248	815
234	249	812
235	249	808
236	250	806
237	250	803
238	251	800
239	251	797
240	252	794
241	252	791
242	253	788
243	253	785
244	254	782
245	254	780
246	254	777
247	255	774
248	255	771
249	256	768
250	256	766
251	257	763
252	257	760
253	258	758
254	258	755
255	258	752
256	259	750
257	259	747
258	260	744
259	260	742
260	261	739
261	261	737
262	262	734
263	262	732
264	263	729
265	263	727
266	264	725
267	264	722
268	265	720
269	265	718
270	266	715
271	266	713
272	267	711
273	267	708
274	267	706
275	268	703
276	268	701
277	269	699
278	269	697
279	270	695
280	270	692
281	271	690
282	271	688
283	272	686
284	272	683
285	273	681
286	273	679
287	273	677
288	274	675
289	274	673
290	275	670
291	275	668
292	276	666
293	276	664
294	277	662
295	277	660
296	278	658
297	279	657
298	279	655
299	280	653
300	280	651
301	280	649
302	281	647
303	281	645
304	282	643
305	282	641
306	283	639
307	283	637
308	284	635
309	284	633
310	285	631
311	285	629
312	286	627
313	286	625
314	286	623
315	287	621
316	287	620
317	288	618
318	288	616
319	289	614
320	289	612
321	289	610
322	290	608
323	290	606
324	291	605
325	291	603
326	292	601
327	292	599
328	293	598
329	293	596
330	294	594
331	294	592
332	295	591
333	295	589
334	296	587
335	296	585
336	296	584
337	297	582
338	297	580
339	298	579
340	298	577
341	299	575
342	299	574
343	300	572
344	300	570
345	301	569
346	301	567
347	302	566
348	302	564
349	303	562
350	303	561
351	304	559
352	304	557
353	304	556
354	305	554
355	305	553
356	306	551
357	306	550
358	307	548
359	307	547
360	308	545
361	308	543
362	309	542
363	309	540
364	309	539
365	310	537
366	310	536
367	311	534
368	311	533
369	312	531
370	312	530
371	313	529
372	313	527
373	314	525
374	314	524
375	315	522
376	315	521
377	316	520
378	316	518
379	316	517
380	317	515
381	317	514
382	318	512
383	318	511
384	319	510
385	319	508
386	320	507
387	320	505
388	321	504
389	321	502
390	322	501
391	322	500
392	323	498
393	323	497
394	323	496
395	324	494
396	324	493
397	325	492
398	325	490
399	326	489
400	326	488
401	327	486
402	327	485
403	328	484
404	328	482
405	328	481
406	329	480
407	330	478
408	330	477
409	330	476
410	331	474
411	331	473
412	332	472
413	332	470
414	333	469
415	333	468
416	334	467
417	334	465
418	335	464
419	335	463
420	336	462
421	336	461
422	337	459
423	337	458
424	338	457
425	338	456
426	338	454
427	339	453
428	339	452
429	340	451
430	340	449
431	341	448
432	341	447
433	342	446
434	342	444
435	342	443
436	343	442
437	343	441
438	344	439
439	344	438
440	345	437
441	345	436
442	345	435
443	346	433
444	346	432
445	347	431
446	347	430
447	348	429
448	348	427
449	349	426
450	349	425
451	350	424
452	350	423
453	351	422
454	351	421
455	351	419
456	352	418
457	352	417
458	353	416
459	353	415
460	354	414
461	354	413
462	355	411
463	355	410
464	356	409
465	356	408
466	357	407
467	357	406
468	358	405
469	358	404
470	359	403
471	359	402
472	360	401
473	360	400
474	361	399
475	361	398
476	362	396
477	362	395
478	362	394
479	363	393
480	363	392
481	364	391
482	364	390
483	365	389
484	365	388
485	366	387
486	366	386
487	367	385
488	367	384
489	368	383
490	368	381
491	368	380
492	369	379
493	369	378
494	370	377
495	370	376
496	371	375
497	371	374
498	372	373
499	372	372
